oSES1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
oSES2,6,0,0,0,-1,-1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
oSES3,7,-1,0,0,-1,-1,0,0,-1,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
oSES4,13,-1,-1,0,-1,-1,0,0,-1,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
oSES5,14,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
oSES6,19,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
oSES7,20,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,-1,0,0
oSES8,30,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,0,-1,0,0,0,0,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,0,-1,0,0
oSES9,155,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,0,-1,0,0
oSES10,180,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,-1,-1,0,0
oSES11,206,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,0,0,-1,-1,-1,0,0
oSES12,632,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,-1,-1,0,0
oSES13,656,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,0,-1,0,0
oSES14,681,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,-1,-1,0,0
oSES15,707,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,0,0,-1,-1,-1,0,0
oSES16,1007,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,-1,-1,0,0
oSES17,1031,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,0,-1,0,0
oSES18,1056,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,-1,-1,0,0
oSES19,1082,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,0,0,-1,-1,-1,0,0
oSES20,1381,-1,-1,0,-1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,-1,0,0,-1,-1,-1,0,0
